source_id,time,filter,mag
S251023dx,9.4,y,21.43161049239115
S251023dx,9.4,z,21.90666215174612
S251023dx,9.5,g,26.559993125915973
S251023dx,9.5,i,22.789407265367853
S251023dx,9.5,r,24.236600537314995
S251023dx,9.5,u,29.62998024264145
S251023dx,9.5,y,21.468238019372848
S251023dx,9.5,z,21.946214319220072
S251023dx,9.600000000000001,g,26.634557937392294
S251023dx,9.600000000000001,i,22.8330577440938
S251023dx,9.600000000000001,r,24.292520712622792
S251023dx,9.600000000000001,u,29.70629228770971
S251023dx,9.600000000000001,y,21.50362837810799
S251023dx,9.600000000000001,z,21.984616215169872
S251023dx,9.700000000000001,g,26.70700685844267
S251023dx,9.700000000000001,i,22.87568055903158
S251023dx,9.700000000000001,r,24.34756473978446
S251023dx,9.700000000000001,u,29.77831370000183
S251023dx,9.700000000000001,y,21.5377416819285
S251023dx,9.700000000000001,z,22.021837840626517
S251023dx,9.8,g,26.777521862813217
S251023dx,9.8,i,22.91735751988643
S251023dx,9.8,r,24.40187869303875
S251023dx,9.8,u,29.84615583425704
S251023dx,9.8,y,21.570634426553212
S251023dx,9.8,z,22.057948147253434
S251023dx,9.9,g,26.846444082129747
S251023dx,9.9,i,22.958256302899642
S251023dx,9.9,r,24.45571196303828
S251023dx,9.9,u,29.910135115035242
S251023dx,9.9,y,21.602438695605734
S251023dx,9.9,z,22.093088399065152
S251023dx,10.0,g,26.914223662327647
S251023dx,10.0,i,22.998595431627958
S251023dx,10.0,r,24.509376653396515
S251023dx,10.0,u,29.970718273507174
S251023dx,10.0,y,21.633338242825673
S251023dx,10.0,z,22.12745590220357
S251023dx,10.100000000000001,g,26.98135904318957
S251023dx,10.100000000000001,i,23.03862355246006
S251023dx,10.100000000000001,r,24.563214150998
S251023dx,10.100000000000001,u,30.02844779059305
S251023dx,10.100000000000001,y,21.66354592841447
S251023dx,10.100000000000001,z,22.161273396192087
S251023dx,10.200000000000001,g,27.04834284424558
S251023dx,10.200000000000001,i,23.078588526934425
S251023dx,10.200000000000001,r,24.61755498631682
S251023dx,10.200000000000001,u,30.083889448698248
S251023dx,10.200000000000001,y,21.693278726841886
S251023dx,10.200000000000001,z,22.194764627134887
S251023dx,10.3,g,27.11561625570763
S251023dx,10.3,i,23.118715088037636
S251023dx,10.3,r,24.67268819557221
S251023dx,10.3,u,30.1375745824808
S251023dx,10.3,y,21.72274095691598
S251023dx,10.3,z,22.22813918329226
S251023dx,10.4,g,27.18353324686087
S251023dx,10.4,i,23.159189547107
S251023dx,10.4,r,24.728838723869913
S251023dx,10.4,u,30.189973923305423
S251023dx,10.4,y,21.752108671729403
S251023dx,10.4,z,22.261573626899125
S251023dx,10.5,g,27.252333695325976
S251023dx,10.5,i,23.200142704647135
S251023dx,10.5,r,24.786144483425225
S251023dx,10.5,u,30.24145491729292
S251023dx,10.5,y,21.781514387093264
S251023dx,10.5,z,22.29519757393019
S251023dx,10.600000000000001,g,27.322128467131492
S251023dx,10.600000000000001,i,23.241647749718428
S251023dx,10.600000000000001,r,24.844650736764777
S251023dx,10.600000000000001,u,30.292279906963234
S251023dx,10.600000000000001,y,21.81105112800236
S251023dx,10.600000000000001,z,22.32909513022626
